Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
Cosmos,https://www.crunchbase.com/organization/cosmos-7570,2026-01-20,Series A,1-10,"New York, New York, United States",Cosmos is a Pinterest alternative for creatives.,15000000,USD,15000000,"Matrix, Shine Capital",https://cosmos.so
Protege,https://www.crunchbase.com/organization/protege-7b9e,2026-01-07,Series A,1-10,"New City, New York, United States",Protege is the AI training data platform enabling seamless and compliant data exchange.,30000000,USD,30000000,"Andreessen Horowitz, CRV, Footwork",https://www.withprotege.ai
XBuild,https://www.crunchbase.com/organization/xbuild,2026-01-20,Series A,1-10,"San Francisco, California, United States","XBuild offers an AI-powered platform for construction tasks like estimation, supplementation, and instant financing.",19000000,USD,19000000,N47,https://www.x.build
Fulcrum,https://www.crunchbase.com/organization/fulcrum-ab09,2026-01-27,Series A,11-50,"San Francisco, California, United States",Fulcrum is an AI-powered platform designed to help insurance account managers handle larger books of business more efficiently.,25000000,USD,25000000,"BrokerTech Ventures, CRV",https://www.withfulcrum.com
Flip CX,https://www.crunchbase.com/organization/redroute,2026-01-13,Series A,11-50,"New York, New York, United States","Flip your CX with best in class Voice AI for retail eCommerce, transportation, and healthcare brands.",20000000,USD,20000000,"Bullpen Capital, Forum Ventures, Lighter Capital, Next Coast Ventures, Ridge Ventures, ScOp Venture Capital",https://flipcx.com
Checkbox,https://www.crunchbase.com/organization/checkbox-technology,2026-01-28,Series A,11-50,"New York, New York, United States","Checkbox provides an AI-powered no-code workflow automation platform that helps legal teams capture, manage, and automate work requests.",23000000,USD,23000000,"Surge, Tidal Ventures, Touring Capital",https://www.checkbox.ai
Cubby Storage,https://www.crunchbase.com/organization/cubby-storage,2026-01-22,Series A,11-50,"New York, New York, United States",Cubby supports self storage owners and operators,63000000,USD,63000000,Goldman Sachs Alternatives,https://cubbystorage.com
Array Labs,https://www.crunchbase.com/organization/array-labs,2026-01-05,Series A,11-50,"Palo Alto, California, United States",Array Labs designs and operates space-based radar systems and delivers 3D Earth imagery and geospatial data services.,20000000,USD,20000000,"Catapult, Great Wave Ventures, Seraphim Space",https://www.arraylabs.io
depthfirst,https://www.crunchbase.com/organization/depthfirst-aa28,2026-01-14,Series A,11-50,"San Francisco, California, United States",Applied AI lab focused on cybersecurity,40000000,USD,40000000,Accel,https://depthfirst.com/
Converge Bio,https://www.crunchbase.com/organization/converge-bio,2026-01-13,Series A,11-50,"Wilmington, Delaware, United States",Converge Bio integrates Generative AI with biological data.,25000000,USD,25000000,"Bessemer Venture Partners, TLV Partners",https://converge-bio.com/
Tradespace,https://www.crunchbase.com/organization/tradespace,2026-01-26,Series A,1-10,"San Francisco, California, United States",Tradespace provides a software platform that supports the management of intellectual property throughout its lifecycle.,15000000,USD,15000000,"500 Global, AVP, Eniac Ventures",https://www.tradespace.io
Mia Labs,https://www.crunchbase.com/organization/mialabsinc,2026-01-22,Series A,11-50,"Austin, Texas, United States","Mia Labs is an Artificial intelligence employee to answer calls, schedule appointments, and provide assistance.",20000000,USD,20000000,Permanent Capital Ventures,https://mia.inc/
Think Bioscience,https://www.crunchbase.com/organization/think-bioscience,2026-01-20,Series A,11-50,"Boulder, Colorado, United States",Think Bioscience is reimagining synthetic biology by guiding the design and assembly of better medicines through the use of living systems.,55000000,USD,55000000,"Innovation Endeavors, Janus Henderson Investors, National Science Foundation, Regeneron Ventures, Xora Innovation, YK Bioventures",https://thinkbioscience.com
FLORA,https://www.crunchbase.com/organization/flora-25cf,2026-01-27,Series A,1-10,"Brooklyn, New York, United States",FLORA is an applied AI HCI company building creative tools.,42000000,USD,42000000,"Alumni Ventures, Mike Volpi, Redpoint",https://www.florafauna.ai
RISA Labs,https://www.crunchbase.com/organization/risa-labs-ai,2026-01-13,Series A,11-50,"Palo Alto, California, United States","Oncology first, AI Transformation Lab. Pioneers of BOSS [Business (Operating System) as Service]. We serve mission critical institutions.",11100000,USD,11100000,"Binny Bansal, Cencora Ventures, Optum Ventures",https://www.risalabs.ai
Cytotheryx,https://www.crunchbase.com/organization/cytotheryx,2026-01-12,Series A,11-50,"Rochester, Minnesota, United States","Cytotheryx is a preclinical cell therapy company focused on the development of a consistent, high-quality source of human hepatocytes.",60000000,USD,60000000,"Ouroboros Family Founders Fund I, QRS Investments",https://cytotheryx.com/
MedWatch Technologies,https://www.crunchbase.com/organization/medwatch-technologies,2026-01-14,Series A,1-10,"Las Vegas, Nevada, United States",MedWatch Technologies is a medical device and SaaS company that specializes in health monitoring and management technology solutions.,15000000,USD,15000000,Stead Impact Ventures,https://medwatchtech.com
Datatruck,https://www.crunchbase.com/organization/datatruck,2026-01-28,Series A,11-50,"Irving, Texas, United States",AI-Native Transportation Operation System for Smarter Financial Automation,12000000,USD,12000000,Avenue Growth Partners,https://www.datatruck.io/
Looki,https://www.crunchbase.com/organization/looki,2026-01-05,Series A,11-50,"Toronto, Ontario, Canada","Looki is building the next generation of human-centric ai platforms - emotionally aware, and deeply embedded in the physical world.",20000000,USD,20000000,Ant Group,https://www.looki.ai/
Poplar Therapeutics,https://www.crunchbase.com/organization/poplar-therapeutics,2026-01-07,Series A,1-10,"Cambridge, Massachusetts, United States","Poplar Therapeutics anti-IgE therapy treats atopic diseases such as food allergy, allergic asthma, and atopic dermatitis.",50000000,USD,50000000,"Platanus, SR One, Vida Ventures",https://poplartx.com
Alveus Therapeutics,https://www.crunchbase.com/organization/alveus-therapeutics,2026-01-08,Series A,11-50,"Philadelphia, Pennsylvania, United States",Alveus Therapeutics is a clinical-stage biotech company developing therapies for obesity and metabolic diseases.,160000000,USD,160000000,"Andera Partners, New Rhein, Omega Funds",https://alveustx.com/
WeatherPromise,https://www.crunchbase.com/organization/weatherpromise,2026-01-13,Series A,11-50,"Morristown, New Jersey, United States",WeatherPromise guarantees great weather through embedded protection delivered during the purchase of travel or other outdoor activities.,12800000,USD,12800000,Maveron,https://weatherpromise.com
Prenosis,https://www.crunchbase.com/organization/prenosis,2026-01-29,Series A,11-50,"Chicago, Illinois, United States",Prenosis develops data-driven diagnostic tools and precision medicine solutions for acute care conditions.,20000000,USD,20000000,"Defense Threat Reduction Agency (DTRA), National Institute of General Medical Science, National Science Foundation, PACE Healthcare Capital",http://www.prenosis.com
Renterra,https://www.crunchbase.com/organization/renterra,2026-01-21,Series A,11-50,"Chicago, Illinois, United States",Software for heavy equipment rental companies to run and improve their businesses,9000000,USD,9000000,"Avenue Growth Partners, Bienville Capital",https://getrenterra.com/
Spangle,https://www.crunchbase.com/organization/spangle-1d9d,2026-01-08,Series A,11-50,"Bellevue, Washington, United States",Building the AI-Native Commerce Platform,15000000,USD,15000000,"Madrona, NewRoad Capital Partners",https://www.spangle.ai/
Flexnode,https://www.crunchbase.com/organization/flexnode,2026-01-28,Series A,11-50,"Bethesda, Maryland, United States","Flexnode offers a novel and sustainable data computing, storage, and networking lifecycle solution.",,,,"ARPA-E, Eaton Corporation, Zacua Ventures",https://www.flexnode.io
Alfred,https://www.crunchbase.com/organization/alfred-976e,2026-01-26,Series A,1-10,"Miami, Florida, United States","Alfred Pay enables real-time payments across Latin America with a single API, focusing on financial inclusion.",15000000,USD,15000000,F-Prime,https://www.alfredpay.io
Spiro Medical,https://www.crunchbase.com/organization/spiro-medical,2026-01-07,Series A,11-50,"Menlo Park, California, United States",Spiro Medical is a medical device company developing a groundbreaking Pulmonary Neuromodulation (PNM) System for asthma treatment.,67000000,USD,67000000,Andera Partners,https://www.spiro-medical.com/
Valinor Enterprises,https://www.crunchbase.com/organization/valinor-enterprises,2026-01-08,Series A,11-50,"Washington, District of Columbia, United States",Valinor Enterprises develops technology solutions addressing operational challenges for defense customers.,54000000,USD,54000000,Friends & Family Capital,https://www.valinor.co/
Caldera Therapeutics,https://www.crunchbase.com/organization/caldera-therapeutics,2026-01-14,Series A,1-10,"Cambridge, Massachusetts, United States",Caldera Therapeutics is a biotech company engaged in the development of bispecific antibody CLD-423 for inflammatory bowel disease (IBD).,37500000,USD,37500000,Omega Funds,https://www.calderatx.com/
Mendra,https://www.crunchbase.com/organization/mendra,2026-01-21,Series A,1-10,"San Francisco, California, United States",Mendra uses AI to accelerate clinical development and commercialization of breakthrough medicines for diseases with high unmet need.,82000000,USD,82000000,"5AM Ventures, 8VC, OrbiMed",https://www.mendra.com/
Flying Tulip,https://www.crunchbase.com/organization/flying-tulip,2026-01-29,Series A,1-10,"Nyack, New York, United States","Flying Tulip is an onchain financial marketplace that unifies spot, derivatives, credit, and risk transfer in a capital‑efficient.",25500000,USD,25500000,,https://flyingtulip.com
Gridline,https://www.crunchbase.com/organization/gridline-8f4c,2026-01-27,Series A,11-50,"Atlanta, Georgia, United States",Gridline is a digital wealth platform for alternative investments.,18500000,USD,18500000,FINTOP Capital,https://gridline.co
Prudentia Sciences,https://www.crunchbase.com/organization/prudentia-sciences,2026-01-07,Series A,1-10,"Cambridge, Massachusetts, United States",Prudentia Sciences is a platform enables AI-powered Asset Diligence and Valuation to De-Risk Investment in Drug Development.,20000000,USD,20000000,"Google Ventures, McKesson Ventures",https://www.prudentiasciences.com/
Opendate,https://www.crunchbase.com/organization/opendate,2026-01-27,Series A,11-50,"Indianapolis, Indiana, United States",Opendate provides a software platform to support event venues and promoters to integrate booking and ticketing into a unified system.,14000000,USD,14000000,High Alpha,https://opendate.io
Gigablue,https://www.crunchbase.com/organization/gigablue,2026-01-26,Series A,11-50,"New York, New York, United States",High-Durability Carbon Dioxide Removal,20000000,USD,20000000,"At One Ventures, Katapult, Planet Ocean Capital",https://www.gigablue.co
Mine,https://www.crunchbase.com/organization/fizz-f39a,2026-01-26,Series A,11-50,"Cambridge, Massachusetts, United States","Mine is building the financial ally for young adults, starting with a debit card that helps college students build credit.",14000000,USD,14000000,"359 Capital, Kleiner Perkins",https://usemine.com/
ditto,https://www.crunchbase.com/organization/ditto-8d66,2026-01-20,Series A,1-10,"San Francisco, California, United States",Ditto allows teams to collaborate on consistent and effective copy.,12200000,USD,12200000,"Craft Ventures, Y Combinator",http://dittowords.com
TwoStep Therapeutics,https://www.crunchbase.com/organization/twostep-therapeutics,2026-01-20,Series A,1-10,"Palo Alto, California, United States",TwoStep Therapeutics is developing novel tumor-targeting therapeutics for solid tumors.,21109518,USD,21109518,"2048 Ventures, NFX",https://www.twosteptx.com 
Pranax,https://www.crunchbase.com/organization/pranax,2026-01-29,Series A,11-50,"Houston, Texas, United States",Pranax is a biotechnology company that develops and commercializes regenerative medicine solutions centered on exosome technology.,17000000,USD,17000000,,https://pranax.com
Ventaris Surgical,https://www.crunchbase.com/organization/ventaris-surgical-inc,2026-01-09,Series A,1-10,"San Carlos, California, United States",Ventaris Surgical is a medical equipment company that provides surgical instruments to specialists.,30000000,USD,30000000,Longitude Capital,http://www.ventarissurgical.com
Ressio Software,https://www.crunchbase.com/organization/ressio-software,2026-01-26,Series A,1-10,"Washington, District of Columbia, United States","Ressio Software is a construction management software for builders, remodelers, and contractors.",8749999,USD,8749999,Blueprint Equity,https://www.ressiosoftware.com/
Chata.ai,https://www.crunchbase.com/organization/chata-ai,2026-01-21,Series A,11-50,"Calgary, Alberta, Canada","Chata.ai empowers businesses with proactive alerts and natural language analysis, delivering real-time insights for better decisions.",10000000,USD,10000000,"7RIDGE, Izou Partners",https://chata.ai/
When Insurance,https://www.crunchbase.com/organization/when-insurance,2026-01-30,Series A,11-50,"Highwood, Illinois, United States",When Insurance is an AI-driven healthcare severance platform helping individuals and employers navigate health insurance during transitions.,10200000,USD,10200000,"7wire Ventures, Alumni Ventures, B Capital, BrokerTech Ventures, ManchesterStory Group, Network Ventures",https://www.forwhen.com
Enhanced Digital Group,https://www.crunchbase.com/organization/enhanced-digital-group,2026-01-08,Series A,11-50,"New York, New York, United States","Enhanced Digital Group provides wholesale, customized structured products and derivative trading solutions.",,,,"Genesis, StoneX, WebN Group",https://www.enhanceddigital.group/
Find therapeutics,https://www.crunchbase.com/organization/find-therapeutics,2026-01-09,Series A,1-10,"Quebec, Quebec, Canada",Find therapeutics is operator of a drug discovery and development company intended to emerge with a new therapeutic modality.,10000000,CAD,7210445,Investissement Quebec,https://www.findtherapeutics.com/
Ultra Pouches,https://www.crunchbase.com/organization/ultra-pouches,2026-01-20,Series A,1-10,"Brooklyn, New York, United States",Ultra Pouches is an online store offering small nicotine-free nootropic pouches made with natural ingredients to support focus and energy.,11000000,USD,11000000,Left Lane Capital,https://takeultra.com/
Pontoro,https://www.crunchbase.com/organization/pontoro,2026-01-14,Series A,11-50,"Mountain View, California, United States",Pontoro is building an automated liquidity pool platform to provide greater liquidity and access to private market assets.,5530003,USD,5530003,"Alumni Ventures, Ulu Ventures, Unbound",https://www.pontoro.com/
Swerve TV,https://www.crunchbase.com/organization/swerve-tv,2026-01-06,Series A,11-50,"Los Angeles, California, United States","Swerve TV is a media company that provides live-streamed competitions, sports content, and streaming channels.",2500000,USD,2500000,Scott Galloway,https://swerve.tv/
Klearly,https://www.crunchbase.com/organization/klearly,2026-01-13,Series A,11-50,"Raleigh, North Carolina, United States","Klearly powers B2B revenue teams with the visibility and confidence to know where, when, and how to grow revenue.",14000000,USD,14000000,"IDEA Fund Partners, PayPal Ventures, York IE",https://klearly.com
Breakthru Medicine,https://www.crunchbase.com/organization/breakthru-medicine,2026-01-29,Series A,11-50,"Phoenix, Arizona, United States",Breakthru Medicine develops novel therapeutic modalities aimed at treating cancer by targeting hard-to-drug disease mechanisms.,60000000,USD,60000000,,https://www.breakthrumed.com/
Mesa Quantum,https://www.crunchbase.com/organization/mesa-quantum,2026-01-05,Series A,11-50,"Boulder, Colorado, United States",Mesa Quantum is a quantum sensor manufacturing company that provides volume manufacturing of integrable chip-scale technology solutions.,11222602,USD,11222602,"J2 Ventures, New Mexico Economic Development Department",https://mesaquantum.com/
Volektra,https://www.crunchbase.com/organization/volektra,2026-01-29,Series A,11-50,"El Dorado Hills, California, United States","At Volektra, we’re building the future of electric mobility—without the rare earths using our Virtual Magnet Technology",5000000,USD,5000000,"Accel, Chakra Growth Fund, Ecozen",https://volektra.com
OurPetPolicy,https://www.crunchbase.com/organization/ourpetpolicy,2026-01-13,Series A,11-50,"Boise, Idaho, United States",OurPetPolicy is a pet management company for landlords and property managers.,8000000,USD,8000000,RET Ventures,https://ourpetpolicy.com
Cream Co.,https://www.crunchbase.com/organization/cream-co-47fe,2026-01-08,Series A,11-50,"Oakland, California, United States",Cream Co. connects chefs with sustainably-empower ranches via a curated line of humanely raised animals.,8000000,USD,8000000,"Soilworks Natural Capital, U.S. Department of Agriculture",https://creamcomeats.com/
Pace,https://www.crunchbase.com/organization/pace-0058,2026-01-27,Series A,11-50,"New York, New York, United States",Pace AI bots execute operations often performed by business process outsourcers by navigating internal systems.,10000000,USD,10000000,Sequoia Capital,https://withpace.com
SunLib,https://www.crunchbase.com/organization/sunlib,2026-01-15,Series A,1-10,"France, Idaho, United States",SunLib is a committed solar company that offers a solar self-consumption solution available as a long-term subscription.,25000000,EUR,29024004,Epopée Gestion,https://www.sunlib.fr/
DebitMyData,https://www.crunchbase.com/organization/debitmydata,2026-01-10,Series A,1-10,"Fort Lauderdale, Florida, United States","Foundational Model (DID) LLM, Agentic Logo System, Human Energy Grid, Blockchain, NFT Custom Logo and Facial Recognition",,,,,http://www.debitmydata.com
Stellular Bio,https://www.crunchbase.com/organization/stellular-bio,2026-01-28,Series A,11-50,"Watertown, Massachusetts, United States",Stellular Bio develops regenerative biologic therapies for ocular surface diseases using platelet-derived technologies.,,,,Ziff Capital Partners,https://www.stellularbio.com
Kite,https://www.crunchbase.com/organization/kite-63c2,2026-01-01,Series A,1-10,"Brooklyn, New York, United States",A beautiful browser with autopilot,100000,USD,100000,,https://kitekite.app
TechiValue Global,https://www.crunchbase.com/organization/techivalue-global,2026-01-03,Series A,11-50,"Los Angeles, California, United States",Everything You Need to Create Something Interesting.,126655,USD,126655,,https://techivalue.com
Zub8eti,https://www.crunchbase.com/organization/zub8eti,2026-01-10,Series A,1-10,"Dover, Delaware, United States",Zub8eti is a lean and efficient digital technology base designed to hold tech systems together worldwide.,,,,GitHub,https://www.zub8eti.com/
Tacnode,https://www.crunchbase.com/organization/tacnode,2026-01-20,Series A,1-10,"Bellevue, Washington, United States",Tacnode operates as an AI data infrastructure company.,,,,,https://tacnode.io/
